ID,Paved Drive,BsmtExposure,BsmtUnfinishedArea,ProximityToMainRoad2,KitchenQuality,SaleCondition,LivingArea,Lot Config,FenceQuality,SaleType,HalfBaths,Neighborhood,HeatingQuality,LotFrontage,RoofMaterial,Exterior1,Foundation,HouseType,YearRemodelled,MasVnrArea,Misc Feature,GarageFinish,ExteriorQual,UtilitiesAvailable,HouseStyle,MasVnrType,FireplaceQuality,EnclosedPorchArea,BsmtCondition,PoolSize,BsmtHeight,BsmtFullBaths,ScreenPorchArea,Misc,BsmtFinishType2,TotalRooms,YearBuilt,YearSold,BsmtFinish2Area,PoolQuality,OpenPorchArea,Fireplaces,RoofType,Functional,ExteriorCond,GarageCondition,TotalBsmtArea,Electrical,SeasonPorchArea,LowQualityFinishArea,ProximityToMainRoad,BsmtHalfBaths,GarageQuality,WoodDeckArea,ZoningClass,Bedrooms,TypeOfAlleyAccess,FullBaths,OverallRating,BsmtFinishType1,TypeOfRoadAccess,MonthSold,GarageCars,Shape,Flatness,HeatingType,Central Air,SlopeOfProperty,Exterior2,GarageArea,BsmtFinish1Area,Quality,GarageType,LotSize,Kitchens,GarageYearBuilt,BuildingClass,2ndFloorArea,1stFloorArea,SalePrice
0,Y,No,2073.0,Norm,TA,Normal,1866,Inside,,WD ,0,NAmes,Ex,76.0,CompShg,Wd Sdng,PConc,Duplex,1958,657.0,,Unf,TA,AllPub,1Story,BrkFace,,0,TA,0,TA,0.0,0,0,Unf,8,1958,2009,0.0,,0,0,Hip,Typ,TA,Fa,2073.0,SBrkr,0,0,Norm,0.0,TA,0,RL,4,,2,4,Unf,Pave,12,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,495.0,0.0,5,Detchd,9482,2,1958.0,90,252,2910,165856
1,Y,No,1624.0,Norm,Ex,Partial,1428,FR2,,New,0,Somerst,Ex,91.0,CompShg,VinylSd,PConc,1Fam,2008,256.0,,RFn,Gd,AllPub,1Story,Stone,,0,TA,0,Gd,0.0,0,0,Unf,6,2008,2008,0.0,,60,0,Gable,Typ,TA,TA,1624.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,Unf,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,554.0,0.0,7,Attchd,12274,1,2008.0,20,252,2472,267804
2,Y,Mn,1007.0,Norm,Gd,Abnorml,2259,Corner,MnPrv,COD,0,Crawfor,TA,,CompShg,Wd Sdng,CBlock,1Fam,1953,184.0,,Unf,TA,AllPub,1Story,BrkFace,Gd,192,TA,0,Gd,1.0,0,0,Rec,7,1953,2007,910.0,,120,2,Hip,Typ,Gd,TA,2016.0,SBrkr,0,0,Norm,0.0,TA,166,RL,3,,2,5,ALQ,Pave,10,2.0,Reg,Bnk,GasA,Y,Gtl,Wd Sdng,450.0,99.0,6,Basment,21000,1,1953.0,20,252,3303,256056
3,Y,No,582.0,Norm,Gd,Normal,1737,Corner,,WD ,1,SawyerW,Gd,75.0,CompShg,HdBoard,PConc,1Fam,1992,0.0,,Fin,Gd,AllPub,2Story,None,,0,TA,0,Gd,0.0,0,0,Unf,7,1992,2008,0.0,,85,0,Gable,Typ,TA,TA,1043.0,SBrkr,0,0,Norm,1.0,TA,192,RL,3,,2,5,GLQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,506.0,461.0,7,Attchd,8285,1,1992.0,60,1145,1888,209856
4,Y,No,1299.0,Artery,TA,Abnorml,1092,FR2,,WD ,0,Mitchel,Ex,77.0,CompShg,VinylSd,PConc,1Fam,2008,0.0,,,TA,AllPub,1Story,None,,0,TA,0,Gd,0.0,0,0,Unf,5,2007,2008,0.0,,52,0,Gable,Typ,TA,,1299.0,SBrkr,0,0,Feedr,0.0,,0,RL,2,,1,5,Unf,Pave,2,0.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,0.0,0.0,5,,9278,1,,20,252,2136,177956
5,N,No,1168.0,Norm,TA,Abnorml,1077,Corner,,WD ,0,IDOTRR,Gd,60.0,CompShg,MetalSd,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,,0,Po,0,Fa,0.0,0,0,Unf,6,1920,2007,0.0,,0,0,Gable,Maj2,Fa,Po,1168.0,Mix,0,0,Norm,0.0,Po,0,RM,2,,1,2,Unf,Pave,11,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,338.0,0.0,5,Detchd,8967,1,1920.0,30,252,2121,91056
6,Y,No,1023.0,Norm,TA,Normal,1393,Inside,,WD ,1,Edwards,TA,59.0,CompShg,MetalSd,PConc,1Fam,1955,0.0,,Unf,TA,AllPub,1.5Fin,None,,0,TA,0,TA,0.0,265,0,Unf,8,1955,2008,0.0,,0,0,Gable,Typ,Gd,TA,1023.0,SBrkr,0,0,Norm,0.0,TA,121,RL,3,,1,7,Unf,Pave,4,1.0,IR1,Lvl,GasA,Y,Gtl,MetalSd,300.0,0.0,5,Attchd,16466,1,1955.0,50,773,1916,166406
7,Y,No,538.0,Norm,TA,Normal,1690,Inside,,WD ,1,Gilbert,Ex,58.0,CompShg,VinylSd,PConc,1Fam,2000,0.0,,RFn,TA,AllPub,2Story,None,TA,0,TA,0,Gd,1.0,0,0,Unf,7,2000,2007,0.0,,50,1,Gable,Typ,TA,TA,1122.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,GLQ,Pave,6,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,442.0,584.0,6,Attchd,9487,1,2000.0,60,1002,1984,223056
8,Y,No,414.0,Norm,TA,Normal,864,Inside,,WD ,0,NAmes,Gd,60.0,CompShg,Wd Sdng,CBlock,1Fam,1962,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0.0,0,0,BLQ,5,1962,2007,483.0,,0,0,Hip,Typ,TA,TA,1071.0,SBrkr,0,0,PosN,0.0,TA,58,RL,2,,1,5,ALQ,Pave,12,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,294.0,174.0,5,Detchd,6600,1,1962.0,20,252,1908,155406
9,Y,Av,399.0,Norm,Gd,Normal,1530,Inside,,WD ,0,StoneBr,Ex,124.0,CompShg,VinylSd,PConc,1Fam,2005,16.0,,Fin,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Ex,1.0,0,0,Unf,7,2005,2009,0.0,,36,1,Hip,Typ,TA,TA,1737.0,SBrkr,0,0,Norm,0.0,TA,168,RL,3,,2,5,ALQ,Pave,6,2.0,IR1,Low,GasA,Y,Mod,VinylSd,430.0,1338.0,7,Attchd,16158,1,2005.0,20,252,2574,303356
